线条,元素,对称,曲线,风格,颜色,长度,运动,直线,画出,曲面,局部,视觉,裁剪,色彩,着色,修饰,立体,画法,单调,切线,造型,变形,简练,纹理,凹凸,简洁,美观,展现,画,透视,明暗,轮廓,光线,尾,横向,外观,穿插,显得,跳跃,搭配,恰到好处,画笔,勾画,凸,装饰,绘出,弯曲,线条,驾驭,过细,拉伸,线型,视觉效果,形体,时尚,画线,色阶,材质,构图,黑白,条纹,姿势,尺寸,色调,倒影,细线,流畅,着墨,图来,渐变色,针脚,标志性,手臂,紧凑,之美,向上,微微,感,拼接,时而,自然光,矩阵式,配色,其前,布料,刻画,剪裁,拉链,手法,层次分明,上色,瘦,审美,单色,能画,渐变,观感,刘海,两条,呼应,变型,调色板,骨架,画圆,不显,点画,修身,凸凹,遮挡,刻划,美感,勾画出,个人风格,健壮,风格特征,线中,饱和度,涂抹,折线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法相,本门,一阶,二阶,高阶,阶,符,级数,化为,低级,内聚,下界,敛,三元,族,二重,法将,三阶,技,开天辟地,晶体,步法,依曼,化成,中级,低阶,境界,双目,七段,羽化,识,奇异,修炼,流星,消去,电光,行者,各系,从空,话音,精化,微变,筋斗,之魂,偶,十二条,小鬼,戒,九宫,看其,灭,身,五力,感应,境,炼成,南天门,光波,道士,柄,电弧,飘浮,原形,入微,虫,猿,特技,画轴,红光,参悟,十六位,无量,青鸟,煅炼,天龙,怪笑,瑕,悟,内力,尊,辈份,华光,域外,骄阳,蚁群,及体,山鬼,决,无头,印,合一,臂,金属性,不空,法性,法一,双臂,三道,纸人,退避,金光,身长,法相,金刚,烟云,登天,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
很强,具备,性,增强,辅助,特别,强,较强,很强,激发,效果,前期,小结,带有,弱,很大,强大,比较简单,适应能力,独特,防,特有,弱点,相似之处,顽强,很广,绝对性,充满,极强,性强,力,对抗,极差,促进作用,卓越,特质,主动攻击,防御性,并不大,与生俱来,可塑性,论是,较弱,更高,浓厚,极富,兼备,整体性,擅长,极快,不错,大得多,活力,双边,毫不逊色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发展前景,现状,未来,将来,人才,行业,竞争,前景,公司,形势,效益,发展前景,新兴,开拓,前途,机遇,介绍所,技术水平,现阶段,优秀人才,展望未来,资质,人才需求,哪些方面,权衡,个人兴趣,竞争力,经济效益,潜力,管理层,吸引力,青睐,发展前途,劳动力,几家,渺茫,战略意义,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指,含义,广义,指向,指,道,处,质,特别强调,狭义,所说,请问,探,字面,指在,一词,泛指,所指,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
德,法,法等,基,英,义,律,格,优,信,导,特,德,吉,卡,廉,雅,利,训,明德,契,鄂,邦,普,夫,意,对英,礼,博,仁,智,哈达,秀,诚,兴,裔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
弱化,作用,加深,空间,背景,整体,体现,提升,消除,增加,差异,强化,转移,冲突,导向,成,压缩,缺陷,依赖,替换,减少,自然,侧重于,主体,差别,起到,效应,放大,单一,改善,矛盾,叠加,分散,略低于,释放,降低,被动,一部分,吸收,制约,二者,中起,唤醒,修正,相辅相成,侧重,美化,加大,消解,后期,主导,阴影,破坏,调,略低,两者之间,以往,取代,贴近,缩小,弱化,缺失,深层,掩盖,丧失,缺乏,调和,外延,鲜明,赋予,倾斜,微调,扭曲,分流,受限,重心,塑造,二者之间,动摇,相近,错位,负面,威慑,更具,砝码,减轻,减淡,沦为,局限,减弱,填补,化后,界限,传统意义,牵制,淡化,削减,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一系列,包括,后续,进一步,环节,多种,系列,启动,引入,多重,各项,措施,并会,这一,围绕,危机,大规模,带来,一系列,应对,某种,制造,多方面,何种,诸多,深层次,推出,网络图,各个方面,多项,数项,着手,若干次,实质性,余项,诸多方面,一整套,各种各样,双重,令,升级,每一项,全方位,无数,首次,前所未有,十项,先是,某项,引发,强有力,严酷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
算法,计算机,模型,算法,计算,存储,运算,动态,编码,硬件,机制,参数,获取,建模,模块,优化,模拟,识别,矩阵,举例,架构,图像,机器,搜索,效率,自动,技术手段,数据模型,逻辑运算,处理器,优先级,分布式,迭代,结构化,数据挖掘,人工智能,实时,场景,节点,图像处理,流量,冗余,可编程,科技,存储空间,科学计算,误差,堆栈,数据分析,利用计算机,量化,非线性,传感器,数字图像,哈希,算子,传感,指令集,梯度,贝叶斯,数码,神经网络,模式识别,单个,海量,专家系统,决策树,分辨率,自然语言,加密技术,聚类,解码,计算机程序,容错,存储容量,人工,遗传算法,引擎,可变,权值,捕捉,像素,量子,计算能力,加权,光学,准确率,相位,聚类分析,阈值,精确,比特,神经元,机器人,高维,分析模型,调优,灰度,浮点运算,人工神经网络,测试数据,错误率,穷举,分布式计算,数据量,原始数据,分类器,自动识别,定量分析,假定,反向,资源分配,最优化,单目,冷启动,流式,协处理器,准确度,人脸识别,精准,指纹识别,倒推,虹膜,后置,成像,摄像机,特征提取,并行计算,摩尔定律,多核,前置,光谱,信息流,分发,魔方,处理单元,区块,电子货币,ai,清晰度,单点,人机对话,捕手,逐帧,计算资源,光子,置信度,以太,技术细节,蒙特卡洛,配对,计算出来,非技术,新思,阀值,眼动,pos,algorithm,功耗,vc,人脑,系统优化,人脸,指纹,相机,容错性,鲁棒性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
振幅,概率,频率,区间,脉冲,周数,临界,倍数,比值,大数,板,奇偶,变化率,振动,波动,间隔,振荡,赫兹,步长,振幅,分时,负值,成交量,探到,最高价,光速,比前,幅度,倍,寻道,最低价,三码,恒定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数据结构,程序设计,编程,函数,实例,数据结构,面向对象,数组,数据类型,数据库系统,递归,运算符,离散数学,汇编语言,高等数学,库,系统结构,链表,索引,二进制,编程语言,层次结构,线性代数,编程技术,多态,编写程序,设计模式,进制,字节,二叉树,多态性,概率论,数理统计,结点,缓冲区,浮点数,数据项,链式,编译器,单元测试,十六进制,密码学,枚举,存储单元,闭包,程序语言,单链,先进先出,外存,机器语言,泛型,分布式系统,java,编程序,序列化,排错,统计学,数学分析,模电,excel,财务会计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
深刻领会,领会,正确理解,深刻理解,紧密结合,结合实际,工作作风,艰巨性,充分认识,三个代表,深刻领会,理想信念,小康社会,党和国家,讲清,习近平,基本路线,充分体现,践行,紧密联系,伟大意义,切实,依法治国,从严治党,宣讲,贯彻,突出重点,贯彻落实,高度重视,方针政策,慰问信,总书记,重大意义,发扬,并作,与时俱进,专题研究,深化改革,重要讲话,坚定不移,时代精神,牢记,顽强拼搏,充分调动,对表,主持会议,认真贯彻,反腐倡廉,精神实质,要举,打牢,奋斗目标,丰硕成果,历史使命,党的建设,深入基层,深入群众,开拓创新,集中学习,学懂,思想认识,紧紧围绕,抓好,解放思想,强省,精心组织,总任务,宏伟目标,政治素质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
条例,标准,规则,实施,执行,规范,公共,具体内容,法律,约束,制定,编制,政策,制度,修订,法规,细化,改革,遵守,纪律,强制,指示,制订,实行,限定,手册,守则,审查,落实,情形,规程,宪法,法律法规,设立,禁止,二项,公民,条例,秩序,王法,规章制度,改革方案,实施方案,现行,合法,委员会,细则,强制性,特权,明确提出,批准,吊销,实施细则,违反,下发,特例,行使,条令,政策法规,第一条,七项,修正案,保护法,带头,废除,不准,第十四条,行为规范,成文,公约,各省,编列,许可证,导则,总则,缓冲期,第三条,严于,十四条,满后,管理法,批,举措,指导方针,通告,定额,合同法,法律责任,提案,健全,第二条,公共秩序,规章,不合理,拟订,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目名称,项目,项目名称,简介,地址,概况,工程项目,预,设计说明,项目编号,产品简介,有限公司,承建,址,变电站,投资总额,投建,建设周期,项目选择,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
正交,交叉,正交,通路,相交,步进,组及,各点,与面,分立,构,相干,相接,交线,同方向,组与,及点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上本,之上,独占,欺,多提,恐,上仅,上除,上本,二对,数大,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
视图,图,静态,界面,二维,窗口,页面,视图,自定义,绘制,流程图,列表,菜单,控件,表格,示例,三维,按钮,扫描,模板,对话框,分页,投影,结构图,测量,绘图,浏览,选择器,窗体,分块,图表,数据表,矢量,帧,图及,过滤器,锐化,工具栏,直方图,法线,游标,跳转,超链接,选项,下标,母版,和表,作图,电子表格,面板,主键,表头,字段,镜像,关键帧,最小化,幻灯片,图层,操作界面,滚动条,图示,监视器,位图,树状,文本框,操作步骤,栏,缩放,页面设置,拖动,单击,图元,偏移,平移,预览,指示器,对图,光标,样例,状态栏,复选框,端点,矢量图,中点,与表,任务栏,编辑框,图所,所示,下拉菜单,三视图,控制面板,菜单项,线宽,坐标轴,用主,最右,缺省,几何体,单元格,页脚,页眉,分栏,方向键,快捷键,图是,箭头,首选项,分节,回退,参数设置,双击,蒙版,如图所示,动态效果,如表,或右,powerpoint,功能键,列中,蒙板,视窗,如图,擦除,行数,屏幕显示,宽高比,当对,输入框,对齐,拖放,遮罩,地物,shift,layout,视口,剖面,对角线,工具条,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前到,前,预定,地点,零点,到达,排队,往返,先于,报到,四点,等候,最迟,刚过,时间差,逗留,时间延迟,三时,早,第几天,前到,自收,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水果,加工,含有,消化,制品,食品,减肥,吃,饮料,药品,超市,适量,食物,吃桃,自动售货机,点餐,熟,进餐,就餐,种植,新鲜,桃子,醇,植物种子,药店,米粉,香浓,鸡,热量,萝卜,必需品,作物,水果,奶制品,礼品,面粉,营养,橙皮,添加剂,串串,储藏,香烟,每份,宠物商店,蔗糖,椒盐,速冻,菜根,胶囊,毒蘑菇,享用,菜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
借用,引导,途径,传递,继承,传送,间接,伪,置换,调动,上传,借助于,开辟,限于,占用,抛出,传达,用非,用处,收回,遗留,引出,媒介,私人,巧用,租用,名义,所要,惯用,由头,正好,地是,借用,补全,举,插手,换成,请用,藉,引,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
匹夫有责,爱国主义,重任,倾,爱国,八十年,和谐社会,奋起,居安思危,兴国,不容,倒行逆施,匹夫有责,作贡献,国兴,同舟共济,振兴中华,国家兴亡,义不容辞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
船舶,重载,运输,电力,空域,吞吐量,干线,海洋,航空公司,货机,一船,船舶,装运,锚,电子设备,港口,火车车厢,货物,交通运输,扬帆,稀土,航空,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
栏目,网,内容提要,广播,音频,专题,来源,转发,问答,录制,网络平台,节目,广告,精选,留言,网络综合,电视节目,点击,中央电视台,留言板,菜单栏,频道,连线,订阅,中国国际广播电台,影视节目,广播节目,展播,导语,主讲,专题报道,原创,及微,择优,二维码,广大读者,投稿,商城,广播电台,首页,收听,日报,编辑部,栏目,综,宣传片,不定期,点评,版块,新闻节目,播出,之声,新视野,资讯,经典影视,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
恶意软件,入侵,攻击,计算机病毒,病毒,威胁,文件共享,漏洞,网络攻击,安全漏洞,黑客,蠕虫,网络工具,黑客技术,扫描器,访问者,木马,黑客攻击,反病毒,杀毒软件,特洛伊木马,软体,防护系统,拦截器,查杀,黑客工具,病毒程序,攻击行为,网络广告,安全事件,嗅探,互联网安全,恶意软件,恶意代码,垃圾邮件,攻击者,防毒软件,防病毒,病毒软件,捕食者,恶意程序,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
